timestep,reward
20069,-1.7734082397003745
41469,-0.625618083352955
63464,-1.7472014925373134
84896,-0.638422035480859
106354,-0.536625321787971
127781,-0.6095729704364148
149864,-1.6861416218742697
171322,-0.5728654970760234
192742,-0.6269077248180324
214170,-0.5933756166314306
235676,-0.590198366394399
257118,-0.6431427899317808
279071,-1.6869300911854104
301010,-1.696608187134503
322372,-0.621939736346516
343770,-0.6079212561518631
365168,-0.5969101123595506
387035,-1.7894490035169988
409069,-1.7456078706957132
430448,-0.5732424171173289
